path,verdict,seconds,restarts,deleted
benchmarks/satlib/uf100-430/uf100-0223.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0224.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0225.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0226.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0227.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0228.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0229.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-023.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0230.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0231.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0232.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0233.cnf,SAT,0.002,3,0
benchmarks/satlib/uf100-430/uf100-0234.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0235.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0236.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0237.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0238.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0239.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-024.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0240.cnf,SAT,0.004,6,0
benchmarks/satlib/uf100-430/uf100-0241.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0242.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0243.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0244.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0245.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0246.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0247.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0248.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0249.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-025.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0250.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0251.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0252.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0253.cnf,SAT,0.001,2,0
